,expression
0,neg(ts_delta_3(ta_lr_slope_10(ts_sma_8(ts_kurt_20(bar_gof_by_volume_w10_mean)))))
1,"ts_prod_17(sub(ts_argmin_20(mul(ta_dema_21(bar_ofi_signed_qty_sum_w10_std), ts_argmin_20(bar_gof_by_volume_w10_std))), ts_prod_3(ta_dema_21(ts_sum_3(bar_ofi_signed_quote_sum_w10_trend)))))"
2,ts_min_5(ta_dema_8(ts_range_5(bar_ofi_signed_qty_sum_w10_std)))
3,ts_kurt_10(elu(ta_ema_21(bar_ofi_signed_quote_sum_w10_std)))
4,ta_rocp_14(ts_prod_3(ta_rocr_14(bar_ofi_signed_quote_sum_w10_mean)))
5,"ta_dema_8(ta_cci_14(ta_dema_8(ta_rocr_25(ta_mom_12(bar_ofi_signed_quote_sum_w10_trend))), ta_willr_14(ts_argmin_5(sqrt(bar_gof_by_count_w10_trend)), ta_lr_intercept_5(ts_kurt_10(bar_ofi_signed_qty_sum_w10_mean)), bar_ofi_signed_qty_sum_w10_trend), ta_tema_55(ta_rsi_6(abs(bar_ofi_signed_qty_sum_w10_trend)))))"
6,ts_delta_8(ts_max_20(ts_kurt_40(ta_trima_55(TA_HT_DCPHASE(bar_gof_by_count_w10_trend)))))
7,"ta_dema_21(sub(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_zscore))"
8,log(ts_lag_8(ts_argmin_5(bar_ofi_signed_quote_sum_w10_quantile)))
9,ts_lag_17(ta_lr_intercept_10(bar_ofi_signed_quote_sum_w10_momentum))
10,"ta_rocp_25(ts_argmin_5(TA_SAR(bar_gof_by_count_w10_trend, bar_ofi_signed_quote_sum_w10_zscore)))"
11,"ts_skew_10(ta_tsf_10(ta_cci_25(ts_lag_8(bar_gof_by_count_w10_mean), ta_rocp_25(bar_ofi_signed_quote_sum_w10_momentum), ta_tema_21(bar_ofi_signed_qty_sum_w10_std))))"
12,"ta_dema_8(ta_aroonosc_14(ta_trima_21(TS_COV_40(bar_ofi_signed_quote_sum_w10_mean, bar_ofi_signed_qty_sum_w10_trend)), ta_lr_slope_20(ts_prod_3(bar_gof_by_volume_w10_std))))"
13,ta_lr_slope_20(ts_skew_10(ts_lag_3(ts_min_20(bar_gof_by_volume_w10_std))))
14,"ta_beta_5(add(ta_tsf_10(bar_ofi_signed_quote_sum_w10_quantile), ts_mean_return_20(bar_gof_by_count_w10_trend)), ta_tsf_10(div(bar_ofi_signed_quote_sum_w10_std, bar_ofi_signed_quote_sum_w10_zscore)))"
15,"ta_cci_25(ta_ema_55(ta_atr_14(bar_gof_by_volume_w10_std, bar_ofi_signed_quote_sum_w10_std, ts_min_5(bar_ofi_signed_quote_sum_w10_quantile))), bar_ofi_signed_quote_sum_w10_zscore, ta_tema_21(ts_max_10(ta_lr_angle_20(bar_gof_by_count_w10_trend))))"
