fitness_sharpe_fixed_threshold,expression,depth,length,factor_order_in_model,sym,freq,y_train_ret_period,start_date_train,end_date_train,start_date_test,end_date_test,metric,current_time,fitness_avg_pic_train,fitness_avg_pic_test,fitness_avg_sic_train,fitness_avg_sic_test,fitness_calmar_train,fitness_calmar_test,fitness_sharp_train,fitness_sharp_test,fitness_sharpe_fixed_threshold_train,fitness_sharpe_fixed_threshold_test,fitness_sharpe_std_threshold_train,fitness_sharpe_std_threshold_test,fitness_max_dd_train,fitness_max_dd_test,fitness_avg_mdd_train,fitness_avg_mdd_test,fitness_max_ic_train,fitness_max_ic_test,max_ic_train_check,given_ic_test
,"ta_aroonosc_14(ts_max_10(ta_cmo_14(ta_lr_angle_20(ts_std_10(bar_ofi_signed_quote_sum_w10_zscore)))), ts_kurt_10(ta_rsi_6(bar_gof_by_count_w10_std)))",5,9,alpha_1,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.06906057635927411,-0.032019165477171894,0.020903697470221482,-0.04469616389635165,22.745483264868472,-17.76504446769509,3.903309751044645,-3.5460996183525286,,,,,-0.09614864657297795,-0.1718048540140381,-0.03725618184593923,-0.06266929295026769,0.17710451,0.1262025,0.17710451,0.021032132424537487
,ts_delta_17(ts_argmax_20(ts_wma_21(bar_gof_by_volume_w10_mean))),3,4,alpha_2,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.02706395808564091,-0.06910471929304175,0.020157653514518294,-0.09328528006947462,18.93443731359464,-14.134194052348981,3.4299747055758987,-3.3004374250642776,,,,,-0.0998763489345163,-0.18290835461499133,-0.037889396665615305,-0.06342880779742013,0.17260251,0.027001510000000003,0.17260251,-0.062016390318277104
,ta_lr_intercept_5(elu(ts_skew_10(bar_gof_by_count_w10_mean))),3,4,alpha_3,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.05771287320754844,0.04024375397777645,0.07694476304048886,0.03364567954841511,31.986192966764463,20.903874411040025,4.028000609510223,3.431608249088459,,,,,-0.05501873423907871,-0.12110228079219633,-0.021520143145996706,-0.04475869630209166,0.24060151,0.13670150999999997,0.24060151,0.16139255702280914
,ts_std_20(ts_kurt_10(ts_sma_55(inv(bar_ofi_signed_quote_sum_w10_mean)))),4,5,alpha_4,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.0021552427710491593,-0.028310484415467813,0.03508470913832777,-0.03417238384715589,-8.897410220212592,-4.753871864095325,-1.8457113677649013,-0.7822510481730847,,,,,-0.2252017553504021,-0.30887201975893863,-0.06252793029922421,-0.14669516833146046,0.056002510000000005,0.25000151,0.056002510000000005,
,"ts_mean_return_20(min(ta_tsf_20(TA_SAR(bar_gof_by_count_w10_mean, bar_ofi_signed_quote_sum_w10_zscore)), ts_sma_55(ta_minus_dm_14(bar_ofi_signed_qty_sum_w10_std, bar_gof_by_volume_w10_std))))",4,10,alpha_5,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.07401991937855724,0.09314604800789252,-0.0744543397747729,0.04132826747720365,-31.385553297411477,12.273256000582148,-8.35680782649222,1.9848474986422646,,,,,-0.0968674719486492,-0.09289966429662813,-0.02855268034587759,-0.03181609905349609,0.14450550999999998,0.1077015,0.14450550999999998,0.04741000877963125
,"ta_rocr_14(ts_rank_20(cos(ta_minus_di_25(TS_CORR_20(bar_gof_by_volume_w10_mean, bar_ofi_signed_quote_sum_w10_quantile), sub(bar_gof_by_count_w10_std, bar_ofi_signed_quote_sum_w10_trend), ts_argmin_20(bar_gof_by_volume_w10_std)))))",5,12,alpha_6,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.07714028303601791,-0.0758449299830731,-0.07189370757090513,-0.10405080330004342,-24.76791016402764,-29.19438116391994,-4.70470485936672,-5.0935605060805225,,,,,-0.07780977907973191,-0.2150247365661582,-0.029347298674338045,-0.08973333715035606,0.24250250999999998,0.0383045,0.24250250999999998,-0.09358999413718977
,"ts_delta_17(ta_rsi_6(ta_lr_slope_20(min(bar_ofi_signed_qty_sum_w10_trend, bar_ofi_signed_qty_sum_w10_std))))",4,6,alpha_7,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.0948710202907468,0.07177365866891121,-0.06759692641022644,0.10283803734259664,-30.034510352244002,9.894244646703294,-8.437742186333868,2.322061366379657,,,,,-0.14434466316512215,-0.22197087305524021,-0.04000083843116431,-0.07602756160969465,0.21200250999999998,0.08400351,0.21200250999999998,-0.020820409007302924
,ts_argmin_10(ts_std_40(sin(ta_dema_55(ts_std_40(bar_ofi_signed_quote_sum_w10_trend))))),5,6,alpha_8,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.0306770329179335,0.02777028431479097,0.10340185437400609,0.04833043855840209,-7.795689242879126,4.246085149793022,-2.196746106090017,0.6663029716016527,,,,,-0.3490671919882852,-0.2311929683246088,-0.09334792147802365,-0.10581188146038804,0.12530550999999998,0.21050150999999998,0.12530550999999998,
,ta_lr_slope_5(ts_rank_5(ta_trix_8(bar_ofi_signed_qty_sum_w10_std))),3,4,alpha_9,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.06477094372427972,-0.028841747013541953,-0.06331040283166253,-0.06955275727312202,-30.21247459195238,-13.817180640983304,-6.315595377291543,-2.927054249936786,,,,,-0.114725333341861,-0.135272067253934,-0.03704534442786599,-0.04589891760017882,0.19310550999999998,0.09890551,0.19310550999999998,-0.07748592870544091
,ts_rank_20(ts_skew_10(bar_ofi_signed_quote_sum_w10_mean)),2,3,alpha_10,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.05091749845078206,0.10391935571285119,0.06663623390243091,0.09214589665653494,-8.450167206768178,36.03625716959636,-1.994126935370792,3.9189483370519844,,,,,-0.17735845566441313,-0.1678436474139466,-0.04659549247002859,-0.08857822153218983,0.31490551,0.2366055,0.31490551,0.1291909042834479
,"TS_COV_40(ta_cmo_25(ts_prod_3(sin(bar_gof_by_volume_w10_std))), ts_range_5(ta_minus_dm_14(ta_cmo_25(bar_ofi_signed_quote_sum_w10_zscore), ts_max_10(ts_std_40(bar_gof_by_volume_w10_trend)))))",5,12,alpha_11,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,-0.00838339440083239,-0.0691601959263241,0.004919121219565706,-0.06862092922275294,37.595295488540614,-13.739116861878724,5.003217256810413,-1.6326755626905523,,,,,-0.06158107214585192,-0.0004971904889189994,-0.02245251428568441,-0.0001520693543203731,0.05690451,0.1055015,0.05690451,
,"ts_argrange_20(ta_minus_dm_14(add(ts_sum_17(sub(bar_ofi_signed_quote_sum_w10_zscore, bar_gof_by_volume_w10_mean)), ts_wma_8(ts_max_20(bar_ofi_signed_quote_sum_w10_quantile))), ts_std_40(add(ta_tsf_20(bar_ofi_signed_quote_sum_w10_momentum), ts_wma_55(bar_gof_by_count_w10_std)))))",5,16,alpha_12,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.02962035413501467,-0.08946033472674783,0.02799372103835156,-0.07157446808510637,66.37102590208562,-17.830261063004638,8.98026559099155,-4.923421763484487,,,,,-0.09630121856695,-0.2604163397771547,-0.03914534227851928,-0.08355101245717814,0.2979035,0.23800249999999998,0.2979035,-0.17106227106227104
,"ta_minus_dm_25(ta_lr_angle_5(ta_trima_55(bar_ofi_signed_quote_sum_w10_std)), ta_lr_intercept_5(ta_beta_5(bar_gof_by_volume_w10_trend, bar_ofi_signed_quote_sum_w10_mean)))",3,8,alpha_13,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.01853923123743604,0.10759511164878052,0.02362322846655724,0.11600868432479375,-3.0071933715713857,20.353617683171265,-0.5584410339191874,2.4148625909256936,,,,,-0.14936727865055613,-0.13205761413919406,-0.0424294102359676,-0.06481429167504604,0.18700450999999998,0.18150249999999998,0.18700450999999998,-0.041466229075814105
,ts_rank_10(ts_std_20(inv(bar_ofi_signed_quote_sum_w10_momentum))),3,4,alpha_14,BTCUSDT,1h,1,2025-01-01,2025-01-10,2025-01-10,2025-01-20,sharpe_fixed_threshold,20251009115153,0.010413328773284537,-0.0312821605948004,0.08420552339045087,-0.04569648284845853,-16.11358928010582,-1.2218985295401705,-4.986232366269746,-0.15389225291402128,,,,,-0.32105125733542117,-0.1585516277812175,-0.07862045591405792,-0.07704142448176335,0.2434055,0.19500351,0.2434055,0.11260312944523472
